top,lat,lon,humidity,temp,accel,dust
$data,50.844417,4.325840,35.90,25.20,0.00,157
$data,50.844402,4.325885,35.80,25.20,0.00,167
$data,50.844383,4.325925,35.80,25.20,0.10,150
$data,50.844360,4.325963,35.70,25.20,0.15,183
$data,50.844345,4.326004,35.70,25.20,0.05,137
$data,50.844326,4.326040,35.70,25.20,0.40,143
$data,50.844303,4.326085,35.70,25.20,0.35,138
$data,50.844280,4.326140,35.10,25.20,0.00,141
$data,50.844272,4.326188,35.10,25.20,0.60,170
$data,50.844261,4.326239,35.10,25.20,0.15,187
$data,50.844253,4.326277,35.10,25.20,0.00,143
$data,50.844245,4.326325,35.10,25.20,0.00,148
$data,50.844238,4.326360,35.10,25.20,0.00,168
$data,50.844230,4.326390,35.10,25.20,0.00,130
$data,50.844223,4.326416,35.10,25.20,0.00,163
$data,50.844203,4.326441,35.10,25.20,0.00,166
$data,50.844203,4.326460,35.10,25.20,0.05,154
$data,50.844188,4.326477,35.10,25.20,0.05,157
$data,50.844181,4.326505,35.10,25.20,0.10,130
$data,50.844181,4.326535,35.10,25.20,0.25,162
$data,50.844181,4.326567,35.10,25.20,0.90,127
$data,50.844181,4.326605,35.10,25.20,0.45,150
$data,50.844181,4.326650,35.10,25.20,0.00,138
$data,50.844181,4.326678,35.10,25.20,0.00,122
$data,50.844181,4.326700,35.10,25.20,0.00,161
$data,50.844188,4.326718,35.20,25.20,0.00,145
$data,50.844188,4.326736,35.20,25.20,0.00,149
$data,50.844203,4.326752,35.10,25.20,0.00,155
$data,50.844203,4.326760,35.10,25.20,0.00,140
$data,50.844215,4.326770,35.10,25.20,0.00,164
$data,50.844215,4.326791,35.10,25.20,0.00,135
$data,50.844215,4.326831,35.10,25.20,0.25,146
$data,50.844223,4.326861,35.10,25.20,0.00,142
$data,50.844223,4.326913,35.00,25.10,0.05,131
$data,50.844215,4.326962,35.00,25.10,0.40,155
$data,50.844203,4.327017,35.10,25.20,0.00,145
$data,50.844181,4.327075,35.10,25.20,0.00,149
$data,50.844165,4.327125,35.00,25.10,0.05,140
$data,50.844139,4.327184,35.00,25.10,0.00,129
$data,50.844123,4.327218,34.90,25.10,0.00,132
$data,50.844116,4.327258,34.90,25.10,0.00,146
$data,50.844108,4.327295,34.90,25.10,0.00,156
$data,50.844093,4.327332,34.90,25.10,0.15,129
$data,50.844066,4.327375,34.90,25.10,0.00,142
$data,50.844043,4.327420,34.90,25.10,0.10,140
$data,50.844017,4.327460,34.00,25.10,0.00,145
$data,50.843994,4.327497,34.00,25.10,0.15,153
$data,50.843971,4.327558,33.70,25.10,0.00,157
$data,50.843952,4.327603,33.70,25.10,0.10,162
$data,50.843929,4.327646,33.30,25.10,0.10,122
$data,50.843906,4.327700,33.30,25.10,0.05,135
$data,50.843872,4.327753,33.00,25.00,0.00,129
$data,50.843849,4.327800,33.00,25.00,0.00,159
$data,50.843814,4.327847,32.90,25.10,0.20,166
$data,50.843791,4.327890,32.90,25.10,0.35,186
$data,50.843765,4.327928,33.00,25.00,0.15,139
$data,50.843750,4.327968,33.00,25.00,0.75,154
$data,50.843734,4.328009,33.10,25.00,0.65,218
$data,50.843708,4.328043,33.10,25.00,0.20,215
$data,50.843692,4.328082,33.20,25.00,0.00,159
$data,50.843677,4.328118,33.20,25.00,0.05,185
$data,50.843650,4.328163,33.30,25.00,0.00,134
$data,50.843620,4.328223,33.30,25.00,0.10,157
$data,50.843585,4.328275,33.40,25.00,0.15,192
$data,50.843570,4.328337,33.40,25.00,0.05,185
$data,50.843547,4.328395,33.50,25.00,0.00,111
$data,50.843521,4.328450,33.50,25.00,0.25,171
$data,50.843498,4.328505,33.50,25.00,0.10,179
$data,50.843471,4.328547,33.50,25.00,0.00,166
$data,50.843456,4.328591,33.50,25.00,0.05,165
$data,50.843433,4.328640,33.50,25.00,0.00,141
