top,lat,lon,humidity,temp,accel,dust
$data,50.841567,4.322524,27.30,25.60,0.00,148
$data,50.841587,4.322530,27.30,25.60,0.00,178
$data,50.841602,4.322538,27.30,25.60,0.00,189
$data,50.841609,4.322540,27.30,25.60,0.00,171
$data,50.841609,4.322540,27.30,25.60,0.00,172
$data,50.841617,4.322540,27.30,25.60,0.00,155
$data,50.841625,4.322540,27.30,25.60,0.00,151
$data,50.841617,4.322537,27.30,25.60,0.00,208
$data,50.841609,4.322530,27.30,25.60,0.00,175
$data,50.841602,4.322525,27.30,25.60,0.00,172
$data,50.841602,4.322518,27.40,25.60,0.00,182
$data,50.841602,4.322512,27.40,25.60,0.00,167
$data,50.841602,4.322508,27.40,25.60,0.15,147
$data,50.841602,4.322505,27.40,25.60,0.00,160
$data,50.841609,4.322505,27.40,25.60,0.00,191
$data,50.841617,4.322507,27.40,25.60,0.00,192
$data,50.841617,4.322502,27.40,25.60,0.00,133
$data,50.841625,4.322496,27.40,25.60,0.00,152
$data,50.841625,4.322492,27.30,25.60,0.00,165
$data,50.841632,4.322490,27.30,25.60,0.00,185
$data,50.841632,4.322484,27.30,25.60,0.00,163
$data,50.841632,4.322473,27.30,25.60,0.00,181
$data,50.841640,4.322465,27.40,25.60,0.00,153
$data,50.841640,4.322463,27.40,25.60,0.00,182
$data,50.841632,4.322445,27.30,25.60,0.00,161
$data,50.841632,4.322433,27.30,25.60,0.00,171
$data,50.841625,4.322423,27.30,25.60,0.00,159
$data,50.841632,4.322418,27.30,25.60,0.00,184
$data,50.841625,4.322410,27.30,25.60,0.00,180
$data,50.841625,4.322405,27.30,25.60,0.00,146
$data,50.841632,4.322398,27.30,25.60,0.00,170
$data,50.841625,4.322379,27.30,25.60,0.00,181
$data,50.841632,4.322375,27.40,25.70,0.00,148
$data,50.841625,4.322370,27.40,25.70,0.00,175
$data,50.841617,4.322365,27.30,25.60,0.00,169
$data,50.841609,4.322357,27.30,25.60,0.00,190
$data,50.841602,4.322347,27.40,25.70,0.00,155
$data,50.841594,4.322345,27.40,25.70,0.00,165
$data,50.841587,4.322332,27.40,25.70,0.00,162
$data,50.841575,4.322323,27.40,25.70,0.00,199
$data,50.841567,4.322319,27.40,25.70,0.00,175
$data,50.841560,4.322320,27.40,25.70,0.00,146
$data,50.841552,4.322323,27.30,25.70,0.05,129
$data,50.841545,4.322325,27.30,25.70,0.55,198
$data,50.841537,4.322325,27.30,25.70,0.00,163
$data,50.841529,4.322325,27.30,25.70,0.00,172
$data,50.841529,4.322325,27.40,25.70,0.05,165
$data,50.841518,4.322327,27.40,25.70,0.00,150
$data,50.841518,4.322330,27.80,25.70,0.10,170
$data,50.841518,4.322328,27.80,25.70,0.00,160
$data,50.841518,4.322328,28.50,25.60,0.00,169
$data,50.841537,4.322339,28.50,25.60,0.00,187
$data,50.841529,4.322323,29.00,25.60,0.00,150
$data,50.841529,4.322311,29.00,25.60,0.00,163
$data,50.841518,4.322297,29.30,25.60,0.00,164
$data,50.841510,4.322285,29.30,25.60,0.00,191
$data,50.841495,4.322273,29.50,25.60,0.10,151
$data,50.841487,4.322275,29.50,25.60,0.05,175
$data,50.841487,4.322285,29.30,25.60,0.05,162
$data,50.841472,4.322277,29.30,25.60,0.00,186
$data,50.841464,4.322273,28.90,25.60,0.00,153
$data,50.841464,4.322277,28.90,25.60,0.05,171
$data,50.841453,4.322277,29.30,25.60,0.20,178
$data,50.841445,4.322280,29.30,25.60,0.05,242
$data,50.841445,4.322288,29.60,25.60,0.35,117
$data,50.841445,4.322302,29.60,25.60,0.00,136
$data,50.841453,4.322317,29.80,25.60,0.05,164
$data,50.841464,4.322337,29.80,25.60,0.00,184
$data,50.841472,4.322341,29.80,25.60,0.00,159
